dataset_name,combination,mean_interaction,mean_actual_drop,n_rows,n_features,n_classes,majority_class_ratio,minority_class_count,row_cap,part_id,source_zip
nursery,Missing+Imbalance,-0.019976543791621417,0.2829003548598829,12958,8,4,0.3333847816020991,328,12958,3,final_experiment_v3_1_
nursery,Noise+Imbalance,0.24538574111091543,0.4187457089271142,12958,8,4,0.3333847816020991,328,12958,3,final_experiment_v3_1_
nursery,Noise+Missing,-0.02516359868614987,0.2560785330120197,12958,8,4,0.3333847816020991,328,12958,3,final_experiment_v3_1_
optdigits,AllThree,0.3713936457738111,0.6970268762597891,5620,64,10,0.1017793594306049,554,5620,3,final_experiment_v3_1_
optdigits,Missing+Imbalance,0.10689389841056775,0.3915397494245709,5620,64,10,0.1017793594306049,554,5620,3,final_experiment_v3_1_
optdigits,Noise+Imbalance,0.3391297731845076,0.6200361253880803,5620,64,10,0.1017793594306049,554,5620,3,final_experiment_v3_1_
optdigits,Noise+Missing,-0.0010698117763785241,0.08464444597800162,5620,64,10,0.1017793594306049,554,5620,3,final_experiment_v3_1_
pendigits,AllThree,0.4226475826302902,0.654774797692403,10992,16,10,0.1040756914119359,1055,10992,3,final_experiment_v3_1_
pendigits,Missing+Imbalance,0.08776270360886729,0.27360168890252784,10992,16,10,0.1040756914119359,1055,10992,3,final_experiment_v3_1_
pendigits,Noise+Imbalance,0.3922154040572147,0.5501047722465571,10992,16,10,0.1040756914119359,1055,10992,3,final_experiment_v3_1_
pendigits,Noise+Missing,-0.003137893118016455,0.11738818352320629,10992,16,10,0.1040756914119359,1055,10992,3,final_experiment_v3_1_
phoneme,AllThree,0.05598326699054673,0.25615870222427206,5404,5,2,0.7065136935603257,1586,5404,3,final_experiment_v3_1_
phoneme,Missing+Imbalance,0.008381699512276446,0.14310423877280024,5404,5,2,0.7065136935603257,1586,5404,3,final_experiment_v3_1_
phoneme,Noise+Imbalance,0.07671121317519955,0.2133931437008039,5404,5,2,0.7065136935603257,1586,5404,3,final_experiment_v3_1_
phoneme,Noise+Missing,-0.008230477718869396,0.12071592296245302,5404,5,2,0.7065136935603257,1586,5404,3,final_experiment_v3_1_
satimage,AllThree,0.26408030609948985,0.4355189263368839,6435,36,6,0.2382284382284382,626,6435,4,final_experiment_v4
satimage,Missing+Imbalance,0.026697154295398123,0.13846961762387552,6435,36,6,0.2382284382284382,626,6435,4,final_experiment_v4
satimage,Noise+Imbalance,0.2467441055242479,0.3769633556671597,6435,36,6,0.2382284382284382,626,6435,4,final_experiment_v4
satimage,Noise+Missing,-0.002114339887915858,0.09877118711548297,6435,36,6,0.2382284382284382,626,6435,4,final_experiment_v4
segmentation,AllThree,0.35093989215468413,0.6369874137663833,2310,19,7,0.1428571428571428,330,2310,4,final_experiment_v4
segmentation,Missing+Imbalance,0.07399369095939141,0.2920240112692649,2310,19,7,0.1428571428571428,330,2310,4,final_experiment_v4
segmentation,Noise+Imbalance,0.33871983776843045,0.5562848891243236,2310,19,7,0.1428571428571428,330,2310,4,final_experiment_v4
segmentation,Noise+Missing,-0.00946598194925521,0.12703368960837644,2310,19,7,0.1428571428571428,330,2310,4,final_experiment_v4
spambase,AllThree,0.15151855750922985,0.3029212545070598,4601,57,2,0.6059552271245382,1813,4601,4,final_experiment_v4
spambase,Missing+Imbalance,0.011502836374112143,0.08250019715334607,4601,57,2,0.6059552271245382,1813,4601,4,final_experiment_v4
spambase,Noise+Imbalance,0.1436540333773565,0.26668704799661613,4601,57,2,0.6059552271245382,1813,4601,4,final_experiment_v4
spambase,Noise+Missing,-0.02040705000589949,0.0883679685912668,4601,57,2,0.6059552271245382,1813,4601,4,final_experiment_v4
splice,AllThree,0.13530163081617827,0.4645987375314695,3188,60,3,0.5191342534504392,764,3188,4,final_experiment_v4
splice,Missing+Imbalance,0.040364996110817696,0.29095102638901643,3188,60,3,0.5191342534504392,764,3188,4,final_experiment_v4
splice,Noise+Imbalance,0.14465730194502566,0.3982151633153869,3188,60,3,0.5191342534504392,764,3188,4,final_experiment_v4
splice,Noise+Missing,-0.01183742827792916,0.14261289350409326,3188,60,3,0.5191342534504392,764,3188,4,final_experiment_v4
tic_tac_toe,AllThree,-0.06902646899788889,0.30708887710651994,958,9,2,0.6534446764091858,332,958,5,final_experiment_v5
tic_tac_toe,Missing+Imbalance,-0.03331374464141395,0.24102566786440185,958,9,2,0.6534446764091858,332,958,5,final_experiment_v5
tic_tac_toe,Noise+Imbalance,0.023547367434970087,0.255387933234834,958,9,2,0.6534446764091858,332,958,5,final_experiment_v5
tic_tac_toe,Noise+Missing,-0.052478586371189274,0.19357212753194866,958,9,2,0.6534446764091858,332,958,5,final_experiment_v5
vehicle,AllThree,0.12659881143510954,0.505061018378436,846,18,4,0.2576832151300236,199,846,5,final_experiment_v5
vehicle,Missing+Imbalance,0.03544396648909887,0.359214040054923,846,18,4,0.2576832151300236,199,846,5,final_experiment_v5
vehicle,Noise+Imbalance,0.17308697636587095,0.452990999400888,846,18,4,0.2576832151300236,199,846,5,final_experiment_v5
vehicle,Noise+Missing,-0.009191890830384838,0.14405842645542688,846,18,4,0.2576832151300236,199,846,5,final_experiment_v5
vowel,AllThree,-0.13108553475691379,0.6619256684995579,990,13,11,0.0909090909090909,90,990,5,final_experiment_v5
vowel,Missing+Imbalance,-0.09196231507401274,0.5766522398404677,990,13,11,0.0909090909090909,90,990,5,final_experiment_v5
vowel,Noise+Imbalance,-0.01674706224834452,0.5810397792901231,990,13,11,0.0909090909090909,90,990,5,final_experiment_v5
vowel,Noise+Missing,-0.04130299590619614,0.27831801415379914,990,13,11,0.0909090909090909,90,990,5,final_experiment_v5
waveform_40,AllThree,0.2503223690050658,0.4778512672113346,5000,40,3,0.3384,1653,5000,5,final_experiment_v5
waveform_40,Missing+Imbalance,0.03965781947442084,0.22506400291358875,5000,40,3,0.3384,1653,5000,5,final_experiment_v5
waveform_40,Noise+Imbalance,0.2592748827578468,0.454630994670091,5000,40,3,0.3384,1653,5000,5,final_experiment_v5
waveform_40,Noise+Missing,-0.0020952593973171747,0.07220024166380812,5000,40,3,0.3384,1653,5000,5,final_experiment_v5
