run_key,dataset_name,seed,setting_id,setting_name,model_name,label_noise,missing_rate,imbalance_level,missing_mechanism,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
pc1__seed4__setting6__RandomForest__mnar,pc1,4,6,missing_imbalance,RandomForest,0.0,0.2,0.8,mnar,0.6886,831,0,0.9388489208633094,0.5526315789473684,0.5793502447708054,0.9150688527949336,0.31429215324221227,0.10526315789473684
pc1__seed4__setting6__ExtraTrees__mnar,pc1,4,6,missing_imbalance,ExtraTrees,0.0,0.2,0.8,mnar,0.5349,831,0,0.935251798561151,0.5263157894736842,0.5332089552238806,0.907202297863202,0.22183659829768923,0.05263157894736842
pc1__seed4__setting6__HistGradientBoosting__mnar,pc1,4,6,missing_imbalance,HistGradientBoosting,0.0,0.2,0.8,mnar,0.459,831,0,0.9280575539568345,0.571225360699045,0.5965166908563135,0.9122698938091907,0.2294339435992847,0.15789473684210525
pc1__seed4__setting6__XGBoost__mnar,pc1,4,6,missing_imbalance,XGBoost,0.0,0.2,0.8,mnar,0.1917,831,0,0.935251798561151,0.5750863645600488,0.6080827067669172,0.9172188564937523,0.28513559118857074,0.15789473684210525
pc1__seed4__setting6__LightGBM__mnar,pc1,4,6,missing_imbalance,LightGBM,0.0,0.2,0.8,mnar,0.2617,831,0,0.935251798561151,0.5750863645600488,0.6080827067669172,0.9172188564937523,0.28513559118857074,0.15789473684210525
pc1__seed4__setting7__LogisticRegression__mnar,pc1,4,7,all_three,LogisticRegression,0.2,0.2,0.8,mnar,0.039,779,166,0.9244604316546763,0.5936801463117253,0.6180069358110318,0.9133837992747855,0.25388488239165186,0.21052631578947367
pc1__seed4__setting7__LinearSVM__mnar,pc1,4,7,all_three,LinearSVM,0.2,0.2,0.8,mnar,0.0321,779,166,0.9244604316546763,0.5936801463117253,0.6180069358110318,0.9133837992747855,0.25388488239165186,0.21052631578947367
pc1__seed4__setting7__KNN__mnar,pc1,4,7,all_three,KNN,0.2,0.2,0.8,mnar,0.0313,779,166,0.9064748201438849,0.535257061572851,0.5419518377693283,0.8947160142608347,0.09127478508003034,0.10526315789473684
pc1__seed4__setting7__DecisionTree__mnar,pc1,4,7,all_three,DecisionTree,0.2,0.2,0.8,mnar,0.0431,779,166,0.7410071942446043,0.519609835399309,0.48502624266748995,0.7984723058231402,0.023639654330327824,0.2631578947368421
pc1__seed4__setting7__RandomForest__mnar,pc1,4,7,all_three,RandomForest,0.2,0.2,0.8,mnar,0.7191,779,166,0.9244604316546763,0.5449095712253607,0.560225988700565,0.9057448278665203,0.15596800231800872,0.10526315789473684
pc1__seed4__setting7__ExtraTrees__mnar,pc1,4,7,all_three,ExtraTrees,0.2,0.2,0.8,mnar,0.5315,779,166,0.9244604316546763,0.5205242836821784,0.523778448486826,0.900890903233038,0.08698000130703804,0.05263157894736842
