run_key,dataset_name,seed,setting_id,setting_name,model_name,variant,label_noise,missing_rate,imbalance_level,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
balance_scale__seed0__setting2__LightGBM__tuned,balance_scale,0,2,missing_only,LightGBM,tuned,0.0,0.2,natural,0.1963,468,0,0.7261146496815286,0.5240360223236936,0.5258166491043204,0.7285644292013719,0.5196117261892744,0.0
balance_scale__seed0__setting3__LogisticRegression__default,balance_scale,0,3,imbalance_only,LogisticRegression,default,0.0,0.0,0.8,0.0323,270,0,0.8598726114649682,0.6208777270421106,0.596830985915493,0.8269489548757514,0.7534928789672559,0.0
balance_scale__seed0__setting3__LogisticRegression__tuned,balance_scale,0,3,imbalance_only,LogisticRegression,tuned,0.0,0.0,0.8,0.0324,270,0,0.8662420382165605,0.6254439370877727,0.6011933559103371,0.832998992354839,0.7643283302011571,0.0
balance_scale__seed0__setting3__RandomForest__default,balance_scale,0,3,imbalance_only,RandomForest,default,0.0,0.0,0.8,0.5265,270,0,0.7643312101910829,0.5524479959411467,0.5293584632113084,0.7333232524476929,0.6085536728950814,0.0
balance_scale__seed0__setting3__RandomForest__tuned,balance_scale,0,3,imbalance_only,RandomForest,tuned,0.0,0.0,0.8,0.5432,270,0,0.7643312101910829,0.5524479959411467,0.5300146856217166,0.7342670067628692,0.6118120630746535,0.0
balance_scale__seed0__setting3__XGBoost__default,balance_scale,0,3,imbalance_only,XGBoost,default,0.0,0.0,0.8,0.2567,270,0,0.7961783439490446,0.5752790461694571,0.5526728502934982,0.7656977386351669,0.6569514286917636,0.0
balance_scale__seed0__setting3__XGBoost__tuned,balance_scale,0,3,imbalance_only,XGBoost,tuned,0.0,0.0,0.8,0.195,270,0,0.8343949044585988,0.6027397260273973,0.5836940836940837,0.8087379711583532,0.7211319866847855,0.0
balance_scale__seed0__setting3__LightGBM__default,balance_scale,0,3,imbalance_only,LightGBM,default,0.0,0.0,0.8,0.1984,270,0,0.8471337579617835,0.6118721461187214,0.5953159041394335,0.8247470962907457,0.7356629581693275,0.0
balance_scale__seed0__setting3__LightGBM__tuned,balance_scale,0,3,imbalance_only,LightGBM,tuned,0.0,0.0,0.8,0.1651,270,0,0.8471337579617835,0.6118721461187214,0.5953159041394335,0.8247470962907457,0.7356629581693275,0.0
balance_scale__seed0__setting4__LogisticRegression__default,balance_scale,0,4,noise_missing,LogisticRegression,default,0.2,0.2,natural,0.0328,468,94,0.7898089171974523,0.5700152207001522,0.5476242770334578,0.7586122959454186,0.6168156605183435,0.0
