scale,combination,row_equal_mean,dataset_equal_mean,dataset_model_equal_mean,n_rows,n_datasets
raw,missing_imbalance,0.032186438563927784,0.032186438563927784,0.032186438563927784,9720,24
raw,noise_imbalance,0.17912355570814448,0.17912355570814445,0.17912355570814448,9720,24
raw,noise_missing,-0.01450013750865463,-0.01450013750865463,-0.01450013750865463,9720,24
logit,missing_imbalance,-0.28362342476160846,-0.28362342476160846,-0.28362342476160846,9720,24
logit,noise_imbalance,0.5554698334171578,0.5554698334171578,0.5554698334171578,9720,24
logit,noise_missing,-0.8055205241479403,-0.8055205241479403,-0.8055205241479404,9720,24
