combination,dataset_name,model_name,seed,interaction
noise_missing,adult,DecisionTree,3,-0.08773972790328155
noise_missing,adult,DecisionTree,3,-0.07157404092985542
noise_missing,adult,DecisionTree,3,-0.21753905385633476
missing_imbalance,adult,DecisionTree,3,0.005388477545245851
missing_imbalance,adult,DecisionTree,3,-0.008200736107468853
missing_imbalance,adult,DecisionTree,3,0.01024798116105341
missing_imbalance,adult,DecisionTree,3,0.005713972694965208
missing_imbalance,adult,DecisionTree,3,0.14277600067889107
missing_imbalance,adult,DecisionTree,3,-0.02852869222675347
missing_imbalance,adult,DecisionTree,3,-0.05634194207438925
missing_imbalance,adult,DecisionTree,3,0.009189375522539955
missing_imbalance,adult,DecisionTree,3,-0.06808504438531016
noise_imbalance,adult,DecisionTree,4,0.003956561922608515
noise_imbalance,adult,DecisionTree,4,-0.046576148794553185
noise_imbalance,adult,DecisionTree,4,-0.0884488137142736
noise_imbalance,adult,DecisionTree,4,-0.0074183424473470705
noise_imbalance,adult,DecisionTree,4,-0.08069152073074481
noise_imbalance,adult,DecisionTree,4,-0.12542923290988317
noise_imbalance,adult,DecisionTree,4,-0.06968553524898091
noise_imbalance,adult,DecisionTree,4,-0.10249215160051517
noise_imbalance,adult,DecisionTree,4,-0.06474656530179734
noise_missing,adult,DecisionTree,4,-0.042949811753196565
noise_missing,adult,DecisionTree,4,-0.04918790944764595
noise_missing,adult,DecisionTree,4,-0.025609678175771866
noise_missing,adult,DecisionTree,4,-0.04877231941832472
noise_missing,adult,DecisionTree,4,-0.009455568058569397
noise_missing,adult,DecisionTree,4,-0.11682643409265758
noise_missing,adult,DecisionTree,4,-0.05494504292467994
noise_missing,adult,DecisionTree,4,-0.05324652005570274
noise_missing,adult,DecisionTree,4,-0.11291194137285887
missing_imbalance,adult,DecisionTree,4,0.03268587087272634
missing_imbalance,adult,DecisionTree,4,-0.013476331049517731
missing_imbalance,adult,DecisionTree,4,0.005955366174882015
missing_imbalance,adult,DecisionTree,4,0.11638595536843888
missing_imbalance,adult,DecisionTree,4,0.022168238226262016
missing_imbalance,adult,DecisionTree,4,0.09725256779270797
missing_imbalance,adult,DecisionTree,4,0.08564995178418511
missing_imbalance,adult,DecisionTree,4,0.06424065667543799
