dataset_name,task_type,n_classes,seed,label_noise,imbalance_level,original_train_rows,original_minority_count,original_majority_count,clean_minority_class,clean_majority_class,observed_majority_class_after_noise,post_imbalance_rows,clean_minority_retained_count,clean_majority_retained_count,clean_minority_retention_rate,effective_clean_minority_ratio,mislabeled_retained_count,mislabeled_retained_ratio,mislabeled_minority_retained_count,mislabeled_majority_retained_count,mislabeled_minority_retained_ratio,observed_majority_ratio_after,observed_minority_count_after,imbalance_feasible
adult,binary,2,2,0.3,0.9,15000,3589,11411,0,1,1,10070,1523,8547,0.42435218723878515,0.1512413108242304,1636,0.1624627606752731,1076,560,0.706500328299409,0.9,1007,True
adult,binary,2,3,0.1,0.7,15000,3589,11411,0,1,1,15000,3589,11411,1.0,0.23926666666666666,1500,0.1,355,1145,0.09891334633602675,0.7080666666666666,4379,True
adult,binary,2,3,0.1,0.8,15000,3589,11411,0,1,1,13276,2327,10949,0.6483700195040402,0.17527869840313348,1038,0.07818620066285026,355,683,0.15255694026643749,0.8000150647785478,2655,True
adult,binary,2,3,0.1,0.9,15000,3589,11411,0,1,1,11801,1217,10584,0.3390916689885762,0.10312685365646979,673,0.057029065333446316,355,318,0.29170090386195563,0.9000084738581476,1180,True
adult,binary,2,3,0.2,0.7,15000,3589,11411,0,1,1,14016,3042,10974,0.8475898578991362,0.2170376712328767,2563,0.18286244292237444,700,1863,0.23011176857330704,0.6999857305936074,4205,True
adult,binary,2,3,0.2,0.8,15000,3589,11411,0,1,1,12264,2062,10202,0.5745332961827807,0.16813437703848663,1791,0.14603718199608612,700,1091,0.3394762366634336,0.7999836921069797,2453,True
adult,binary,2,3,0.2,0.9,15000,3589,11411,0,1,1,10901,1319,9582,0.3675118417386459,0.120998073571232,1171,0.10742133749197322,700,471,0.530705079605762,0.9000091734703238,1090,True
adult,binary,2,3,0.3,0.7,15000,3589,11411,0,1,1,13047,2732,10315,0.7612148230704932,0.20939679619835977,3404,0.260902889553154,1111,2293,0.40666178623718885,0.7000076645972254,3914,True
adult,binary,2,3,0.3,0.8,15000,3589,11411,0,1,1,11416,2091,9325,0.582613541376428,0.18316398037841625,2414,0.21145760336370006,1111,1303,0.531324725011956,0.8000175192711984,2283,True
adult,binary,2,3,0.3,0.9,15000,3589,11411,0,1,1,10148,1539,8609,0.4288102535525216,0.15165549862041783,1698,0.16732361056365785,1111,587,0.7218973359324237,0.8999802916830902,1015,True
adult,binary,2,4,0.1,0.7,15000,3589,11411,0,1,1,15000,3589,11411,1.0,0.23926666666666666,1500,0.1,352,1148,0.09807745890220117,0.7076666666666667,4385,True
adult,binary,2,4,0.1,0.8,15000,3589,11411,0,1,1,13269,2296,10973,0.6397325160211759,0.17303489336046424,1062,0.08003617454216595,352,710,0.15331010452961671,0.7999849272740975,2654,True
adult,binary,2,4,0.1,0.9,15000,3589,11411,0,1,1,11794,1215,10579,0.33853441069935913,0.10301848397490249,668,0.0566389689672715,352,316,0.2897119341563786,0.9000339155502798,1179,True
adult,binary,2,4,0.2,0.7,15000,3589,11411,0,1,1,14147,3095,11052,0.8623572025633881,0.21877429843783133,2641,0.1866826889093094,746,1895,0.24103392568659127,0.70000706863646,4244,True
adult,binary,2,4,0.2,0.8,15000,3589,11411,0,1,1,12379,2118,10261,0.5901365282808582,0.17109621132563213,1850,0.14944664350916875,746,1104,0.352219074598678,0.7999838436061071,2476,True
adult,binary,2,4,0.2,0.9,15000,3589,11411,0,1,1,11003,1356,9647,0.3778211200891613,0.1232391166045624,1236,0.1123330000908843,746,490,0.5501474926253688,0.9000272652912842,1100,True
adult,binary,2,4,0.3,0.7,15000,3589,11411,0,1,1,12976,2739,10237,0.7631652270827528,0.21108199753390874,3326,0.2563193588162762,1086,2240,0.3964950711938664,0.6999845869297164,3893,True
adult,binary,2,4,0.3,0.8,15000,3589,11411,0,1,1,11354,2041,9313,0.5686820841460016,0.17976043685044918,2402,0.21155539897833361,1086,1316,0.5320921117099461,0.799982385062533,2271,True
adult,binary,2,4,0.3,0.9,15000,3589,11411,0,1,1,10092,1483,8609,0.41320702145444416,0.14694807768529528,1698,0.16825208085612367,1086,612,0.73229939312205,0.9000198176773682,1009,True
mushroom,binary,2,0,0.1,0.7,6093,2937,3156,1,0,0,4513,1529,2984,0.5205992509363296,0.33879902503877685,437,0.0968313760248172,306,131,0.2001308044473512,0.6999778417903834,1354,True
mushroom,binary,2,0,0.1,0.8,6093,2937,3156,1,0,0,3949,1031,2918,0.35103847463398025,0.26107875411496584,371,0.0939478348949101,306,65,0.2967992240543162,0.7999493542669031,790,True
mushroom,binary,2,0,0.1,0.9,6093,2937,3156,1,0,0,3510,629,2881,0.21416411304051752,0.1792022792022792,334,0.09515669515669516,306,28,0.4864864864864865,0.9,351,True
mushroom,binary,2,0,0.2,0.7,6093,2937,3156,1,0,0,4496,1672,2824,0.5692883895131086,0.3718861209964413,887,0.1972864768683274,605,282,0.3618421052631579,0.6999555160142349,1349,True
mushroom,binary,2,0,0.2,0.8,6093,2937,3156,1,0,0,3934,1236,2698,0.42083758937691523,0.31418403660396543,761,0.1934417895271988,605,156,0.4894822006472492,0.7999491611591256,787,True
mushroom,binary,2,0,0.2,0.9,6093,2937,3156,1,0,0,3497,879,2618,0.2992849846782431,0.2513583071203889,681,0.19473834715470403,605,76,0.6882821387940842,0.8999142121818702,350,True
mushroom,binary,2,0,0.3,0.7,6093,2937,3156,1,0,0,4380,1772,2608,0.6033367381681989,0.4045662100456621,1280,0.2922374429223744,869,411,0.4904063205417607,0.7,1314,True
mushroom,binary,2,0,0.3,0.8,6093,2937,3156,1,0,0,3832,1397,2435,0.4756554307116105,0.36456158663883087,1107,0.28888308977035493,869,238,0.6220472440944882,0.8001043841336117,766,True
mushroom,binary,2,0,0.3,0.9,6093,2937,3156,1,0,0,3407,1100,2307,0.37453183520599254,0.32286469034341064,979,0.28734957440563547,869,110,0.79,0.8999119459935427,341,True
mushroom,binary,2,1,0.1,0.7,6093,2937,3156,1,0,0,4433,1469,2964,0.5001702417432754,0.3313782991202346,417,0.09406722309948116,278,139,0.18924438393464943,0.6999774419129258,1330,True
mushroom,binary,2,1,0.1,0.8,6093,2937,3156,1,0,0,3879,971,2908,0.3306094654409261,0.2503222480020624,361,0.09306522299561742,278,83,0.286302780638517,0.79994844031967,776,True
mushroom,binary,2,1,0.1,0.9,6093,2937,3156,1,0,0,3448,588,2860,0.20020429009193055,0.17053364269141533,313,0.09077726218097448,278,35,0.47278911564625853,0.8999419953596288,345,True
mushroom,binary,2,1,0.2,0.7,6093,2937,3156,1,0,0,4430,1623,2807,0.5526046986721144,0.36636568848758466,870,0.1963882618510158,582,288,0.3585951940850277,0.7,1329,True
mushroom,binary,2,1,0.2,0.8,6093,2937,3156,1,0,0,3876,1184,2692,0.4031324480762683,0.30546955624355004,755,0.19478844169246645,582,173,0.49155405405405406,0.8000515995872033,775,True
mushroom,binary,2,1,0.2,0.9,6093,2937,3156,1,0,0,3446,846,2600,0.28804902962206336,0.24550203134068485,663,0.19239698200812536,582,81,0.6879432624113475,0.899883923389437,345,True
mushroom,binary,2,1,0.3,0.7,6093,2937,3156,1,0,0,4429,1822,2607,0.620360912495744,0.411379543915105,1279,0.2887785053059381,886,393,0.4862788144895719,0.6999322646195529,1329,True
mushroom,binary,2,1,0.3,0.8,6093,2937,3156,1,0,0,3875,1418,2457,0.48280558392917944,0.36593548387096775,1129,0.29135483870967743,886,243,0.6248236953455572,0.8,775,True
mushroom,binary,2,1,0.3,0.9,6093,2937,3156,1,0,0,3444,1130,2314,0.3847463398025196,0.3281068524970964,986,0.2862950058072009,886,100,0.784070796460177,0.9001161440185831,344,True
mushroom,binary,2,2,0.1,0.7,6093,2937,3156,1,0,0,4507,1515,2992,0.515832482124617,0.33614377634790327,445,0.09873530064344353,304,141,0.20066006600660066,0.7000221877080097,1352,True
mushroom,binary,2,2,0.1,0.8,6093,2937,3156,1,0,0,3944,997,2947,0.3394620360912496,0.252789046653144,400,0.10141987829614604,304,96,0.3049147442326981,0.7999492900608519,789,True
mushroom,binary,2,2,0.1,0.9,6093,2937,3156,1,0,0,3506,609,2897,0.20735444330949948,0.17370222475755848,350,0.09982886480319453,304,46,0.49917898193760263,0.8998859098687964,351,True
mushroom,binary,2,2,0.2,0.7,6093,2937,3156,1,0,0,4407,1599,2808,0.5444330949948928,0.36283185840707965,871,0.1976401179941003,574,297,0.358974358974359,0.7000226911731336,1322,True
mushroom,binary,2,2,0.2,0.8,6093,2937,3156,1,0,0,3856,1164,2692,0.39632277834525026,0.30186721991701243,755,0.195798755186722,574,181,0.49312714776632305,0.8000518672199171,771,True
