combination,dataset_name,model_name,seed,mitigation,interaction
noise_imbalance,adult,RandomForest,3,class_weight,0.07187134480607626
all_three_excess_over_singles,adult,RandomForest,3,class_weight,0.10583581012100174
noise_imbalance,adult,RandomForest,3,none,0.06206130967271373
all_three_excess_over_singles,adult,RandomForest,3,none,0.06952760020085813
noise_imbalance,adult,RandomForest,3,random_oversample,0.013285494110053975
all_three_excess_over_singles,adult,RandomForest,3,random_oversample,0.00873952874421835
noise_imbalance,adult,RandomForest,4,class_weight,0.09424386787823724
all_three_excess_over_singles,adult,RandomForest,4,class_weight,0.11947829357360717
noise_imbalance,adult,RandomForest,4,none,0.08709633827149943
all_three_excess_over_singles,adult,RandomForest,4,none,0.09865689372727249
noise_imbalance,adult,RandomForest,4,random_oversample,0.037659846905183536
all_three_excess_over_singles,adult,RandomForest,4,random_oversample,0.043653038147709156
noise_imbalance,adult,XGBoost,0,class_weight,0.016300699175214817
all_three_excess_over_singles,adult,XGBoost,0,class_weight,0.010641750191405674
noise_imbalance,adult,XGBoost,0,none,0.10419753889224959
all_three_excess_over_singles,adult,XGBoost,0,none,0.09736088262073361
noise_imbalance,adult,XGBoost,0,random_oversample,0.005131667372477278
all_three_excess_over_singles,adult,XGBoost,0,random_oversample,0.0009850090542838918
noise_imbalance,adult,XGBoost,1,class_weight,-0.012815646362281274
all_three_excess_over_singles,adult,XGBoost,1,class_weight,-0.025578347813059676
noise_imbalance,adult,XGBoost,1,none,0.11389647117861412
all_three_excess_over_singles,adult,XGBoost,1,none,0.11767803912591912
noise_imbalance,adult,XGBoost,1,random_oversample,-0.005821228220776797
all_three_excess_over_singles,adult,XGBoost,1,random_oversample,-0.013140107152896041
noise_imbalance,adult,XGBoost,2,class_weight,0.008125140020424748
all_three_excess_over_singles,adult,XGBoost,2,class_weight,0.011020291475965838
noise_imbalance,adult,XGBoost,2,none,0.13025796005098322
all_three_excess_over_singles,adult,XGBoost,2,none,0.1325059551202461
noise_imbalance,adult,XGBoost,2,random_oversample,0.0037624865463506962
all_three_excess_over_singles,adult,XGBoost,2,random_oversample,-0.003475163291813299
noise_imbalance,adult,XGBoost,3,class_weight,0.00174138281492775
all_three_excess_over_singles,adult,XGBoost,3,class_weight,0.008644375349958988
noise_imbalance,adult,XGBoost,3,none,0.09936488891333617
all_three_excess_over_singles,adult,XGBoost,3,none,0.11122547061730648
noise_imbalance,adult,XGBoost,3,random_oversample,0.007626095076581074
all_three_excess_over_singles,adult,XGBoost,3,random_oversample,0.0056210590876693
noise_imbalance,adult,XGBoost,4,class_weight,0.020185138085159204
all_three_excess_over_singles,adult,XGBoost,4,class_weight,0.00841830039202729
noise_imbalance,adult,XGBoost,4,none,0.12386944713052128
all_three_excess_over_singles,adult,XGBoost,4,none,0.1266720585487997
noise_imbalance,adult,XGBoost,4,random_oversample,0.007435999053870268
all_three_excess_over_singles,adult,XGBoost,4,random_oversample,0.0013071771859023418
noise_imbalance,allhypo,LightGBM,0,class_weight,-0.006428652517952438
all_three_excess_over_singles,allhypo,LightGBM,0,class_weight,-0.07243619807456148
noise_imbalance,allhypo,LightGBM,0,none,0.07119810046775388
all_three_excess_over_singles,allhypo,LightGBM,0,none,-0.010856054903627954
noise_imbalance,allhypo,LightGBM,0,random_oversample,-0.00739422879382623
all_three_excess_over_singles,allhypo,LightGBM,0,random_oversample,-0.12493650604096762
noise_imbalance,allhypo,LightGBM,1,class_weight,-0.014575530299856143
all_three_excess_over_singles,allhypo,LightGBM,1,class_weight,-0.139655547052719
noise_imbalance,allhypo,LightGBM,1,none,0.017790035473598698
all_three_excess_over_singles,allhypo,LightGBM,1,none,0.04449598363686735
noise_imbalance,allhypo,LightGBM,1,random_oversample,0.013284075458193434
all_three_excess_over_singles,allhypo,LightGBM,1,random_oversample,-0.03893814846447985
noise_imbalance,allhypo,LightGBM,2,class_weight,0.00896222586754436
all_three_excess_over_singles,allhypo,LightGBM,2,class_weight,-0.14562977506588493
noise_imbalance,allhypo,LightGBM,2,none,0.07541461132906224
all_three_excess_over_singles,allhypo,LightGBM,2,none,-0.02621442695393783
noise_imbalance,allhypo,LightGBM,2,random_oversample,-0.016410238062826377
all_three_excess_over_singles,allhypo,LightGBM,2,random_oversample,-0.1721070877434263
noise_imbalance,allhypo,LightGBM,3,class_weight,-0.03273787793494698
all_three_excess_over_singles,allhypo,LightGBM,3,class_weight,-0.2052316214965456
noise_imbalance,allhypo,LightGBM,3,none,0.08722349803778928
all_three_excess_over_singles,allhypo,LightGBM,3,none,-0.032041119896932146
noise_imbalance,allhypo,LightGBM,3,random_oversample,-0.046888878226902686
all_three_excess_over_singles,allhypo,LightGBM,3,random_oversample,-0.14618884574321955
noise_imbalance,allhypo,LightGBM,4,class_weight,-0.06459969940327004
all_three_excess_over_singles,allhypo,LightGBM,4,class_weight,-0.12583442159802094
noise_imbalance,allhypo,LightGBM,4,none,0.08789876383801942
all_three_excess_over_singles,allhypo,LightGBM,4,none,-0.08573474935634307
noise_imbalance,allhypo,LightGBM,4,random_oversample,-0.040338155708299794
all_three_excess_over_singles,allhypo,LightGBM,4,random_oversample,-0.0919673527046444
noise_imbalance,allhypo,LogisticRegression,0,class_weight,-0.016517617109886584
all_three_excess_over_singles,allhypo,LogisticRegression,0,class_weight,-0.10160239631684448
noise_imbalance,allhypo,LogisticRegression,0,none,-0.013796605092726122
all_three_excess_over_singles,allhypo,LogisticRegression,0,none,-0.1637296446999827
noise_imbalance,allhypo,LogisticRegression,0,random_oversample,-0.034327423940207935
all_three_excess_over_singles,allhypo,LogisticRegression,0,random_oversample,-0.11835418008875281
noise_imbalance,allhypo,LogisticRegression,1,class_weight,0.032263962993489825
all_three_excess_over_singles,allhypo,LogisticRegression,1,class_weight,-0.03370065910980746
noise_imbalance,allhypo,LogisticRegression,1,none,-0.000589197649880302
all_three_excess_over_singles,allhypo,LogisticRegression,1,none,-0.11038330904833948
noise_imbalance,allhypo,LogisticRegression,1,random_oversample,0.029185619061331658
all_three_excess_over_singles,allhypo,LogisticRegression,1,random_oversample,-0.032406561113067334
noise_imbalance,allhypo,LogisticRegression,2,class_weight,0.014139981429483306
all_three_excess_over_singles,allhypo,LogisticRegression,2,class_weight,-0.05294978005526768
noise_imbalance,allhypo,LogisticRegression,2,none,0.0
all_three_excess_over_singles,allhypo,LogisticRegression,2,none,-0.17715045100745863
noise_imbalance,allhypo,LogisticRegression,2,random_oversample,0.00031643928305691293
all_three_excess_over_singles,allhypo,LogisticRegression,2,random_oversample,-0.057711720326302285
noise_imbalance,allhypo,LogisticRegression,3,class_weight,-0.009942134835021044
all_three_excess_over_singles,allhypo,LogisticRegression,3,class_weight,-0.09236155325702272
noise_imbalance,allhypo,LogisticRegression,3,none,-0.014356099865289684
all_three_excess_over_singles,allhypo,LogisticRegression,3,none,-0.18643047179671224
noise_imbalance,allhypo,LogisticRegression,3,random_oversample,-0.011834037013099208
all_three_excess_over_singles,allhypo,LogisticRegression,3,random_oversample,-0.08424830003542105
noise_imbalance,allhypo,LogisticRegression,4,class_weight,0.004282282716953523
all_three_excess_over_singles,allhypo,LogisticRegression,4,class_weight,-0.019809432221449208
noise_imbalance,allhypo,LogisticRegression,4,none,-0.027417324355085704
all_three_excess_over_singles,allhypo,LogisticRegression,4,none,-0.14238216698267475
noise_imbalance,allhypo,LogisticRegression,4,random_oversample,0.011816261145795204
all_three_excess_over_singles,allhypo,LogisticRegression,4,random_oversample,-0.010073645627978134
noise_imbalance,allhypo,RandomForest,0,class_weight,0.19553178721424952
all_three_excess_over_singles,allhypo,RandomForest,0,class_weight,0.06236584135074058
noise_imbalance,allhypo,RandomForest,0,none,0.19734927379897005
all_three_excess_over_singles,allhypo,RandomForest,0,none,0.03505333039114955
noise_imbalance,allhypo,RandomForest,0,random_oversample,0.06292812890793731
all_three_excess_over_singles,allhypo,RandomForest,0,random_oversample,0.02665454381344018
noise_imbalance,allhypo,RandomForest,1,class_weight,0.13136253915276175
all_three_excess_over_singles,allhypo,RandomForest,1,class_weight,0.02510789528787344
noise_imbalance,allhypo,RandomForest,1,none,0.12973707117102262
all_three_excess_over_singles,allhypo,RandomForest,1,none,0.13002524645660601
noise_imbalance,allhypo,RandomForest,1,random_oversample,-0.0015040164372575049
all_three_excess_over_singles,allhypo,RandomForest,1,random_oversample,-0.011770432853072221
noise_imbalance,allhypo,RandomForest,2,class_weight,0.06932899326690412
all_three_excess_over_singles,allhypo,RandomForest,2,class_weight,-0.07015537117803727
noise_imbalance,allhypo,RandomForest,2,none,0.07552058644239823
all_three_excess_over_singles,allhypo,RandomForest,2,none,-0.06802507987433865
noise_imbalance,allhypo,RandomForest,2,random_oversample,0.027715967425490873
