dataset_name,model_name,seed,variant,setting_name,clean_macro_f1,macro_f1,macro_f1_drop
balance_scale,LightGBM,0,default,clean,0.6401072124756335,0.6401072124756335,0.0
balance_scale,LightGBM,0,default,noise_only,0.6401072124756335,0.6457209033005212,-0.005613690824887718
balance_scale,LightGBM,0,default,missing_only,0.6401072124756335,0.5268329554043839,0.1132742570712496
balance_scale,LightGBM,0,default,imbalance_only,0.6401072124756335,0.5953159041394335,0.04479130833620004
balance_scale,LightGBM,0,default,noise_missing,0.6401072124756335,0.5380294308865737,0.10207778158905978
balance_scale,LightGBM,0,default,noise_imbalance,0.6401072124756335,0.5264262709914883,0.1136809414841452
balance_scale,LightGBM,0,default,missing_imbalance,0.6401072124756335,0.4755454545454545,0.16456175793017902
balance_scale,LightGBM,0,default,all_three,0.6401072124756335,0.4911779088761951,0.1489293035994384
balance_scale,LightGBM,0,tuned,clean,0.644880174291939,0.644880174291939,0.0
balance_scale,LightGBM,0,tuned,noise_only,0.644880174291939,0.6347940558466874,0.010086118445251646
balance_scale,LightGBM,0,tuned,missing_only,0.644880174291939,0.5258166491043204,0.11906352518761865
balance_scale,LightGBM,0,tuned,imbalance_only,0.644880174291939,0.5953159041394335,0.04956427015250553
balance_scale,LightGBM,0,tuned,noise_missing,0.644880174291939,0.5376227648468116,0.1072574094451274
balance_scale,LightGBM,0,tuned,noise_imbalance,0.644880174291939,0.4827085149665794,0.1621716593253596
balance_scale,LightGBM,0,tuned,missing_imbalance,0.644880174291939,0.4713227513227513,0.1735574229691877
balance_scale,LightGBM,0,tuned,all_three,0.644880174291939,0.5007851755553492,0.14409499873658982
balance_scale,LightGBM,1,default,clean,0.6123040849068246,0.6123040849068246,0.0
balance_scale,LightGBM,1,default,noise_only,0.6123040849068246,0.6054806799456817,0.006823404961142976
balance_scale,LightGBM,1,default,missing_only,0.6123040849068246,0.5595339585109406,0.052770126395884076
balance_scale,LightGBM,1,default,imbalance_only,0.6123040849068246,0.5699167074963253,0.04238737741049936
balance_scale,LightGBM,1,default,noise_missing,0.6123040849068246,0.4678160919540229,0.14448799295280174
balance_scale,LightGBM,1,default,noise_imbalance,0.6123040849068246,0.4335287379556633,0.17877534695116132
balance_scale,LightGBM,1,default,missing_imbalance,0.6123040849068246,0.450376647834275,0.16192743707254964
balance_scale,LightGBM,1,default,all_three,0.6123040849068246,0.4230664345199388,0.18923765038688584
balance_scale,LightGBM,1,tuned,clean,0.6192314763743335,0.6192314763743335,0.0
balance_scale,LightGBM,1,tuned,noise_only,0.6192314763743335,0.6119271988174427,0.007304277556890781
balance_scale,LightGBM,1,tuned,missing_only,0.6192314763743335,0.5479980614606225,0.07123341491371105
balance_scale,LightGBM,1,tuned,imbalance_only,0.6192314763743335,0.5702090079481895,0.049022468426143995
balance_scale,LightGBM,1,tuned,noise_missing,0.6192314763743335,0.4698950629706025,0.149336413403731
balance_scale,LightGBM,1,tuned,noise_imbalance,0.6192314763743335,0.4487886382623225,0.170442838112011
balance_scale,LightGBM,1,tuned,missing_imbalance,0.6192314763743335,0.4530929690311878,0.16613850734314572
balance_scale,LightGBM,1,tuned,all_three,0.6192314763743335,0.4281930126002291,0.19103846377410444
balance_scale,LightGBM,2,default,clean,0.6056873199730343,0.6056873199730343,0.0
balance_scale,LightGBM,2,default,noise_only,0.6056873199730343,0.5416408250242514,0.0640464949487829
balance_scale,LightGBM,2,default,missing_only,0.6056873199730343,0.5065134099616858,0.09917391001134845
