dataset_name,seed,label_noise,imbalance_level,original_train_rows,original_minority_count,post_imbalance_rows,clean_minority_retained_count,clean_minority_retention_rate,mislabeled_retained_count,mislabeled_retained_ratio,minority_mislabeled_retained_count,effective_clean_minority_ratio,observed_majority_ratio_after,observed_minority_count_after
balance_scale,0,0.1,0.7,468,37,293,14,0.3783783783783784,23,0.07849829351535836,2,0.04778156996587031,0.6996587030716723,22
balance_scale,0,0.1,0.8,468,37,256,8,0.21621621621621623,17,0.06640625,3,0.03125,0.80078125,11
balance_scale,0,0.1,0.9,468,37,228,7,0.1891891891891892,11,0.04824561403508772,3,0.03070175438596491,0.8991228070175439,6
balance_scale,0,0.2,0.7,468,37,284,12,0.32432432432432434,44,0.15492957746478872,6,0.04225352112676056,0.7007042253521126,20
balance_scale,0,0.2,0.8,468,37,249,13,0.35135135135135137,33,0.13253012048192772,6,0.05220883534136546,0.7991967871485943,15
balance_scale,0,0.2,0.9,468,37,221,7,0.1891891891891892,29,0.13122171945701358,5,0.03167420814479638,0.9004524886877828,6
balance_scale,0,0.3,0.7,468,37,284,15,0.40540540540540543,78,0.2746478873239437,7,0.0528169014084507,0.7007042253521126,30
balance_scale,0,0.3,0.8,468,37,249,12,0.32432432432432434,63,0.25301204819277107,7,0.04819277108433735,0.7991967871485943,17
balance_scale,0,0.3,0.9,468,37,221,8,0.21621621621621623,53,0.2398190045248869,6,0.03619909502262444,0.9004524886877828,6
balance_scale,1,0.1,0.7,468,37,300,18,0.4864864864864865,22,0.07333333333333333,2,0.06,0.7,19
balance_scale,1,0.1,0.8,468,37,262,9,0.24324324324324326,19,0.07251908396946564,1,0.03435114503816794,0.8015267175572519,12
balance_scale,1,0.1,0.9,468,37,233,5,0.13513513513513514,18,0.07725321888412018,1,0.02145922746781116,0.9012875536480687,8
balance_scale,1,0.2,0.7,468,37,286,16,0.43243243243243246,46,0.16083916083916083,2,0.055944055944055944,0.6993006993006993,34
balance_scale,1,0.2,0.8,468,37,250,9,0.24324324324324326,35,0.14,2,0.036,0.8,18
balance_scale,1,0.2,0.9,468,37,222,4,0.10810810810810811,28,0.12612612612612611,1,0.018018018018018018,0.9009009009009009,8
balance_scale,1,0.3,0.7,468,37,281,12,0.32432432432432434,69,0.24555160142348753,3,0.042704626334519574,0.701067615658363,29
balance_scale,1,0.3,0.8,468,37,246,10,0.2702702702702703,58,0.23577235772357724,3,0.04065040650406504,0.8008130081300813,16
balance_scale,1,0.3,0.9,468,37,219,5,0.13513513513513514,47,0.2146118721461187,3,0.0228310502283105,0.8995433789954338,5
balance_scale,2,0.1,0.7,468,37,294,15,0.40540540540540543,25,0.08503401360544217,2,0.05102040816326531,0.7006802721088435,24
balance_scale,2,0.1,0.8,468,37,258,8,0.21621621621621623,20,0.07751937984496124,3,0.031007751937984496,0.7984496124031008,9
balance_scale,2,0.1,0.9,468,37,229,8,0.21621621621621623,17,0.07423580786026202,3,0.034934497816593885,0.8995633187772926,9
balance_scale,2,0.2,0.7,468,37,287,17,0.4594594594594595,50,0.17421602787456447,6,0.059233449477351915,0.7003484320557491,26
balance_scale,2,0.2,0.8,468,37,251,13,0.35135135135135137,37,0.14741035856573706,4,0.05179282868525897,0.8007968127490039,18
balance_scale,2,0.2,0.9,468,37,223,6,0.16216216216216217,30,0.13452914798206278,4,0.026905829596412557,0.9013452914798207,6
balance_scale,2,0.3,0.7,468,37,307,19,0.5135135135135135,84,0.2736156351791531,8,0.06188925081433225,0.7003257328990228,35
balance_scale,2,0.3,0.8,468,37,269,14,0.3783783783783784,70,0.26022304832713755,7,0.05204460966542751,0.7992565055762082,20
balance_scale,2,0.3,0.9,468,37,239,8,0.21621621621621623,59,0.24686192468619247,5,0.03347280334728033,0.899581589958159,10
balance_scale,3,0.1,0.7,468,37,299,17,0.4594594594594595,23,0.07692307692307693,1,0.056856187290969896,0.6989966555183946,21
balance_scale,3,0.1,0.8,468,37,261,9,0.24324324324324326,15,0.05747126436781609,0,0.034482758620689655,0.8007662835249042,11
balance_scale,3,0.1,0.9,468,37,232,3,0.08108108108108109,15,0.06465517241379311,0,0.01293103448275862,0.9008620689655172,4
balance_scale,3,0.2,0.7,468,37,289,11,0.2972972972972973,40,0.1384083044982699,3,0.03806228373702422,0.698961937716263,18
balance_scale,3,0.2,0.8,468,37,252,11,0.2972972972972973,36,0.14285714285714285,2,0.04365079365079365,0.8015873015873016,20
balance_scale,3,0.2,0.9,468,37,224,8,0.21621621621621623,27,0.12053571428571429,3,0.03571428571428571,0.9017857142857143,7
balance_scale,3,0.3,0.7,468,37,284,17,0.4594594594594595,70,0.24647887323943662,4,0.05985915492957746,0.7007042253521126,29
balance_scale,3,0.3,0.8,468,37,249,11,0.2972972972972973,56,0.2248995983935743,6,0.04417670682730924,0.7991967871485943,12
balance_scale,3,0.3,0.9,468,37,221,4,0.10810810810810811,51,0.23076923076923078,3,0.01809954751131222,0.9004524886877828,6
balance_scale,4,0.1,0.7,468,37,304,14,0.3783783783783784,28,0.09210526315789473,4,0.046052631578947366,0.7006578947368421,17
balance_scale,4,0.1,0.8,468,37,266,7,0.1891891891891892,27,0.10150375939849623,3,0.02631578947368421,0.8007518796992481,9
balance_scale,4,0.1,0.9,468,37,237,4,0.10810810810810811,24,0.10126582278481013,3,0.016877637130801686,0.8987341772151899,6
balance_scale,4,0.2,0.7,468,37,300,18,0.4864864864864865,54,0.18,5,0.06,0.7,26
balance_scale,4,0.2,0.8,468,37,262,9,0.24324324324324326,46,0.17557251908396945,5,0.03435114503816794,0.8015267175572519,14
balance_scale,4,0.2,0.9,468,37,233,9,0.24324324324324326,36,0.15450643776824036,4,0.03862660944206009,0.9012875536480687,6
balance_scale,4,0.3,0.7,468,37,270,12,0.32432432432432434,68,0.2518518518518518,4,0.044444444444444446,0.7,30
balance_scale,4,0.3,0.8,468,37,236,10,0.2702702702702703,51,0.21610169491525424,3,0.0423728813559322,0.8008474576271186,20
balance_scale,4,0.3,0.9,468,37,210,4,0.10810810810810811,47,0.22380952380952382,3,0.01904761904761905,0.9,10
breast_w,0,0.1,0.7,524,181,467,132,0.7292817679558011,44,0.09421841541755889,18,0.2826552462526767,0.7002141327623126,140
breast_w,0,0.1,0.8,524,181,409,87,0.48066298342541436,31,0.07579462102689487,18,0.21271393643031786,0.7995110024449877,82
breast_w,0,0.1,0.9,524,181,363,50,0.27624309392265195,22,0.06060606060606061,18,0.13774104683195593,0.9008264462809917,36
breast_w,0,0.2,0.7,524,181,423,115,0.6353591160220995,70,0.16548463356973994,29,0.2718676122931442,0.6997635933806147,127
breast_w,0,0.2,0.8,524,181,370,76,0.4198895027624309,56,0.15135135135135136,29,0.20540540540540542,0.8,74
breast_w,0,0.2,0.9,524,181,329,47,0.2596685082872928,44,0.1337386018237082,29,0.14285714285714285,0.8996960486322189,33
breast_w,0,0.3,0.7,524,181,417,118,0.6519337016574586,113,0.2709832134292566,53,0.2829736211031175,0.7002398081534772,125
breast_w,0,0.3,0.8,524,181,365,89,0.49171270718232046,90,0.2465753424657534,53,0.24383561643835616,0.8,73
breast_w,0,0.3,0.9,524,181,324,73,0.40331491712707185,65,0.2006172839506173,53,0.22530864197530864,0.9012345679012346,32
breast_w,1,0.1,0.7,524,181,467,134,0.7403314917127072,42,0.08993576017130621,18,0.28693790149892934,0.7002141327623126,140
breast_w,1,0.1,0.8,524,181,409,83,0.4585635359116022,35,0.08557457212713937,18,0.20293398533007334,0.7995110024449877,82
breast_w,1,0.1,0.9,524,181,363,49,0.27071823204419887,23,0.06336088154269973,18,0.1349862258953168,0.9008264462809917,36
breast_w,1,0.2,0.7,524,181,440,127,0.7016574585635359,75,0.17045454545454544,35,0.28863636363636364,0.7,132
breast_w,1,0.2,0.8,524,181,385,85,0.4696132596685083,62,0.16103896103896104,35,0.22077922077922077,0.8,77
breast_w,1,0.2,0.9,524,181,342,59,0.3259668508287293,45,0.13157894736842105,35,0.17251461988304093,0.9005847953216374,34
breast_w,1,0.3,0.7,524,181,414,108,0.5966850828729282,120,0.2898550724637681,52,0.2608695652173913,0.7004830917874396,124
breast_w,1,0.3,0.8,524,181,362,93,0.5138121546961326,83,0.2292817679558011,52,0.2569060773480663,0.8011049723756906,72
breast_w,1,0.3,0.9,524,181,322,74,0.4088397790055249,62,0.19254658385093168,52,0.22981366459627328,0.9006211180124224,32
breast_w,2,0.1,0.7,524,181,479,144,0.7955801104972375,44,0.0918580375782881,22,0.30062630480167013,0.6993736951983298,144
breast_w,2,0.1,0.8,524,181,419,95,0.5248618784530387,33,0.07875894988066826,22,0.22673031026252982,0.7995226730310262,84
breast_w,2,0.1,0.9,524,181,372,55,0.30386740331491713,26,0.06989247311827956,22,0.1478494623655914,0.9005376344086021,37
breast_w,2,0.2,0.7,524,181,454,133,0.7348066298342542,83,0.1828193832599119,40,0.29295154185022027,0.7004405286343612,136
breast_w,2,0.2,0.8,524,181,398,93,0.5138121546961326,67,0.16834170854271358,40,0.23366834170854273,0.7989949748743719,80
breast_w,2,0.2,0.9,524,181,353,64,0.35359116022099446,51,0.14447592067988668,40,0.1813031161473088,0.9008498583569405,35
breast_w,2,0.3,0.7,524,181,437,131,0.7237569060773481,120,0.2745995423340961,60,0.2997711670480549,0.700228832951945,131
breast_w,2,0.3,0.8,524,181,382,102,0.56353591160221,94,0.24607329842931938,60,0.2670157068062827,0.8010471204188482,76
breast_w,2,0.3,0.9,524,181,340,77,0.425414364640884,77,0.22647058823529412,60,0.22647058823529412,0.9,34
breast_w,3,0.1,0.7,524,181,481,144,0.7955801104972375,46,0.09563409563409564,23,0.2993762993762994,0.7006237006237006,144
breast_w,3,0.1,0.8,524,181,421,97,0.5359116022099447,33,0.07838479809976247,23,0.23040380047505937,0.8004750593824228,84
breast_w,3,0.1,0.9,524,181,374,53,0.292817679558011,30,0.08021390374331551,23,0.14171122994652408,0.9010695187165776,37
breast_w,3,0.2,0.7,524,181,423,111,0.6132596685082873,74,0.17494089834515367,29,0.2624113475177305,0.6997635933806147,127
breast_w,3,0.2,0.8,524,181,370,82,0.4530386740331492,50,0.13513513513513514,29,0.22162162162162163,0.8,74
breast_w,3,0.2,0.9,524,181,329,53,0.292817679558011,38,0.11550151975683891,29,0.16109422492401215,0.8996960486322189,33
breast_w,3,0.3,0.7,524,181,417,122,0.6740331491712708,109,0.26139088729016785,53,0.29256594724220625,0.7002398081534772,125
breast_w,3,0.3,0.8,524,181,365,92,0.5082872928176796,87,0.23835616438356164,53,0.25205479452054796,0.8,73
breast_w,3,0.3,0.9,524,181,324,76,0.4198895027624309,62,0.19135802469135801,53,0.2345679012345679,0.9012345679012346,32
breast_w,4,0.1,0.7,524,181,476,141,0.7790055248618785,44,0.09243697478991597,21,0.296218487394958,0.6995798319327731,143
breast_w,4,0.1,0.8,524,181,416,88,0.4861878453038674,37,0.0889423076923077,21,0.21153846153846154,0.8004807692307693,83
breast_w,4,0.1,0.9,524,181,370,49,0.27071823204419887,30,0.08108108108108109,21,0.13243243243243244,0.9,37
breast_w,4,0.2,0.7,524,181,420,108,0.5966850828729282,74,0.1761904761904762,28,0.2571428571428571,0.7,126
breast_w,4,0.2,0.8,524,181,368,77,0.425414364640884,53,0.14402173913043478,28,0.20923913043478262,0.7989130434782609,74
breast_w,4,0.2,0.9,524,181,327,47,0.2596685082872928,42,0.12844036697247707,28,0.1437308868501529,0.8990825688073395,33
breast_w,4,0.3,0.7,524,181,411,121,0.6685082872928176,104,0.25304136253041365,51,0.2944038929440389,0.7007299270072993,123
breast_w,4,0.3,0.8,524,181,360,95,0.5248618784530387,79,0.21944444444444444,51,0.2638888888888889,0.8,72
breast_w,4,0.3,0.9,524,181,320,72,0.39779005524861877,62,0.19375,51,0.225,0.9,32
cmc,0,0.1,0.7,1104,250,649,88,0.352,57,0.08782742681047766,21,0.13559322033898305,0.699537750385208,81
cmc,0,0.1,0.8,1104,250,568,59,0.236,42,0.07394366197183098,17,0.10387323943661972,0.7992957746478874,50
cmc,0,0.1,0.9,1104,250,504,36,0.144,34,0.06746031746031746,18,0.07142857142857142,0.9007936507936508,19
cmc,0,0.2,0.7,1104,250,609,90,0.36,96,0.15763546798029557,25,0.1477832512315271,0.6995073891625616,83
cmc,0,0.2,0.8,1104,250,532,45,0.18,84,0.15789473684210525,21,0.08458646616541353,0.8007518796992481,44
cmc,0,0.2,0.9,1104,250,473,33,0.132,65,0.13742071881606766,21,0.06976744186046512,0.9006342494714588,16
cmc,0,0.3,0.7,1104,250,636,111,0.444,168,0.2641509433962264,62,0.17452830188679244,0.699685534591195,79
cmc,0,0.3,0.8,1104,250,556,79,0.316,145,0.2607913669064748,56,0.1420863309352518,0.8003597122302158,46
cmc,0,0.3,0.9,1104,250,494,63,0.252,127,0.25708502024291496,54,0.12753036437246965,0.9008097165991903,18
cmc,1,0.1,0.7,1104,250,647,84,0.336,55,0.08500772797527048,12,0.12982998454404945,0.7001545595054096,86
cmc,1,0.1,0.8,1104,250,566,51,0.204,37,0.06537102473498234,7,0.09010600706713781,0.8003533568904594,50
cmc,1,0.1,0.9,1104,250,503,20,0.08,38,0.07554671968190854,8,0.039761431411530816,0.9005964214711729,17
cmc,1,0.2,0.7,1104,250,611,94,0.376,98,0.16039279869067102,34,0.15384615384615385,0.7004909983633388,84
cmc,1,0.2,0.8,1104,250,535,56,0.224,83,0.15514018691588785,30,0.10467289719626169,0.8,43
cmc,1,0.2,0.9,1104,250,476,43,0.172,65,0.13655462184873948,28,0.09033613445378151,0.8991596638655462,23
cmc,1,0.3,0.7,1104,250,643,99,0.396,161,0.25038880248833595,44,0.15396578538102643,0.6998444790046656,85
cmc,1,0.3,0.8,1104,250,562,66,0.264,145,0.2580071174377224,42,0.11743772241992882,0.800711743772242,48
cmc,1,0.3,0.9,1104,250,500,44,0.176,121,0.242,36,0.088,0.9,21
cmc,2,0.1,0.7,1104,250,657,92,0.368,56,0.0852359208523592,21,0.1400304414003044,0.700152207001522,82
cmc,2,0.1,0.8,1104,250,575,58,0.232,45,0.0782608695652174,17,0.10086956521739131,0.8,47
cmc,2,0.1,0.9,1104,250,511,30,0.12,37,0.07240704500978473,15,0.05870841487279843,0.9001956947162426,17
cmc,2,0.2,0.7,1104,250,620,76,0.304,102,0.16451612903225807,28,0.12258064516129032,0.7,76
cmc,2,0.2,0.8,1104,250,542,60,0.24,76,0.14022140221402213,25,0.11070110701107011,0.8007380073800738,44
cmc,2,0.2,0.9,1104,250,482,42,0.168,69,0.14315352697095435,23,0.08713692946058091,0.9004149377593361,23
cmc,2,0.3,0.7,1104,250,611,105,0.42,152,0.24877250409165302,49,0.1718494271685761,0.7004909983633388,86
cmc,2,0.3,0.8,1104,250,535,81,0.324,139,0.25981308411214954,47,0.15140186915887852,0.8,52
cmc,2,0.3,0.9,1104,250,476,60,0.24,121,0.2542016806722689,47,0.12605042016806722,0.8991596638655462,23
cmc,3,0.1,0.7,1104,250,661,87,0.348,60,0.0907715582450832,17,0.13161875945537066,0.7004538577912254,80
cmc,3,0.1,0.8,1104,250,579,54,0.216,50,0.08635578583765112,16,0.09326424870466321,0.7996545768566494,46
cmc,3,0.1,0.9,1104,250,514,33,0.132,42,0.08171206225680934,16,0.06420233463035019,0.9007782101167315,20
cmc,3,0.2,0.7,1104,250,629,90,0.36,104,0.16534181240063592,37,0.14308426073131955,0.699523052464229,74
cmc,3,0.2,0.8,1104,250,550,61,0.244,89,0.1618181818181818,33,0.11090909090909092,0.8,45
cmc,3,0.2,0.9,1104,250,489,49,0.196,71,0.14519427402862986,33,0.10020449897750511,0.8997955010224948,19
cmc,3,0.3,0.7,1104,250,604,88,0.352,165,0.2731788079470199,43,0.1456953642384106,0.7003311258278145,83
cmc,3,0.3,0.8,1104,250,529,72,0.288,132,0.2495274102079395,39,0.13610586011342155,0.7996219281663516,52
cmc,3,0.3,0.9,1104,250,470,52,0.208,111,0.23617021276595745,35,0.11063829787234042,0.9,19
cmc,4,0.1,0.7,1104,250,653,95,0.38,58,0.0888208269525268,21,0.14548238897396631,0.6998468606431854,87
cmc,4,0.1,0.8,1104,250,571,60,0.24,50,0.08756567425569177,19,0.10507880910683012,0.8003502626970228,51
cmc,4,0.1,0.9,1104,250,508,37,0.148,37,0.07283464566929133,18,0.07283464566929133,0.8996062992125984,21
cmc,4,0.2,0.7,1104,250,599,69,0.276,100,0.1669449081803005,20,0.11519198664440734,0.6994991652754591,78
cmc,4,0.2,0.8,1104,250,524,50,0.2,77,0.14694656488549618,17,0.09541984732824428,0.799618320610687,47
cmc,4,0.2,0.9,1104,250,466,25,0.1,66,0.14163090128755365,16,0.0536480686695279,0.8991416309012875,18
cmc,4,0.3,0.7,1104,250,631,100,0.4,167,0.26465927099841524,55,0.15847860538827258,0.7004754358161648,81
cmc,4,0.3,0.8,1104,250,552,89,0.356,137,0.24818840579710144,56,0.161231884057971,0.8007246376811594,47
cmc,4,0.3,0.9,1104,250,491,58,0.232,122,0.2484725050916497,49,0.11812627291242363,0.90020366598778,19
