process_variant,dataset_equal_mean,ci95_low,ci95_high,n_datasets,positive_dataset_fraction
clean_label_imbalance_then_noise,0.02249557745177549,0.007255080867270834,0.03697195838153643,24,0.8333333333333334
equal_training_size_control,0.1656999433535762,0.12067104840797724,0.21255876654839195,24,0.9583333333333334
fixed_current_index_matched_baseline,0.22470764960671877,0.16675366127172894,0.2850900514071797,24,0.9166666666666666
original_noise_then_observed_imbalance,0.18403832900503236,0.13627557495101333,0.23214643962841394,24,0.9583333333333334
