process_variant,row_equal_mean,dataset_equal_mean,dataset_model_equal_mean,dataset_equal_sd,n_rows,n_datasets,positive_dataset_fraction
original_noise_then_observed_imbalance,0.18403832900503236,0.18403832900503236,0.1840383290050324,0.1239963168311155,1080,24,0.9583333333333334
clean_label_imbalance_then_noise,0.02260888084453239,0.02249557745177549,0.022498444127600863,0.038005968793875,1079,24,0.8333333333333334
fixed_current_index_matched_baseline,0.2247076496067188,0.22470764960671877,0.22470764960671882,0.1523346631487578,1080,24,0.9166666666666666
equal_training_size_control,0.16587959274620875,0.1656999433535762,0.16569814001020047,0.1178378779472805,1079,24,0.9583333333333334
