process_variant,metric,noise_drop,imbalance_drop,observed_compound_drop,expected_additive_drop,interaction
clean_label_imbalance_then_noise,macro_f1,0.07061442501216765,0.14074020531965623,0.23396351117635628,0.2113546303318239,0.02260888084453239
equal_training_size_control,macro_f1,0.08744171787214439,0.10478160524048635,0.3581029158588395,0.19222332311263074,0.16587959274620875
fixed_current_index_matched_baseline,macro_f1,0.07060902884668624,0.10065153952271869,0.3959682179761237,0.17126056836940493,0.2247076496067188
original_noise_then_observed_imbalance,macro_f1,0.07060902884668624,0.1413208601244051,0.3959682179761237,0.21192988897109136,0.18403832900503236
